jobId,jobTitle,careerCluster,seniorityLevel,description,requiredSkills,skillCount,certifications,topRelatedRoles
job-062-cloud-software-developer,Cloud/Software Developer,Cloud & DevOps Engineering,Mid Level,Develops software applications on cloud platforms.,Cloud Platforms; Programming Languages; Software Development; Cloud Services,4,AWS Certified Developer - Associate; Microsoft Certified: Azure Developer Associate,Cloud/Software Applications Engineer; Cloud/Software Architect; Cloud System Engineer; Cloud System Administrator; Cloud Migration Specialist
job-063-cnc-programmer,CNC Programmer,Backend & Software Development,Mid Level,Creates CNC programs for machining operations. Responsible for interpreting blueprints and optimizing tool paths for efficiency.,CNC Programming; G-Code; CAD/CAM; Machining; Manufacturing Processes; Blueprints; Toolpath Optimization; CNC Machines; CAD/CAM Software,9,CNC Programming Certificate; Mastercam Certification; Siemens NX Certification; Autodesk Fusion 360 CAM Certification,
job-064-coder,Coder,Backend & Software Development,Mid Level,Writes code in various programming languages to develop software applications. Responsibilities include debugging and maintaining code quality.,Programming; Algorithms; Data Structures; Problem Solving; Debugging; Software Development; Programming Languages; Scripting,8,CompTIA IT Fundamentals+; Coding Bootcamp Certificates; AWS Certified Developer - Associate; Microsoft Certified: Azure Fundamentals,Computer Programmer; Entry Level Programmer; Programmer; Software Development Engineer; Lead Programmer
job-065-compositor,Compositor,"Game, VFX & Creative Production",Mid Level,"Combines visual elements to create final images for films, television, and other media.",Compositing; Visual Effects; Color Correction; Image Manipulation,4,Nuke Certified Artist (Foundry); Adobe Certified Professional in After Effects,Visual Effects Animator; VFX Artist; Motion Graphics Artist; Effects Technical Director (FX TD); Animator
job-066-computer-and-information-research-manager,Computer and Information Research Manager,General IT & Software,Lead / Manager,Manages computer and information research projects and teams.,Research Management; Team Leadership; Budgeting; Project Management,4,Google Machine Learning Engineer Certification; AWS Certified Machine Learning - Specialty,Sharepoint Manager; Manager Unix; Manager Php; Manager .NET; Manager Hardware
job-067-computer-and-information-research-scientist,Computer and Information Research Scientist,Data Science & Analytics,Mid Level,Conducts research in computer science and develops new technologies.,Research Methodologies; Data Analysis; Programming; Scientific Writing,4,Certified AI Engineer (CAE); TensorFlow Developer Certificate,Computer Research Scientist; Power BI Analyst; Intelligence Specialist; Data Science Specialist; Business Intelligence Analyst
job-068-computer-forensic-analyst,Computer Forensic Analyst,Cybersecurity,Mid Level,"Investigates cybercrimes and security incidents, collecting and analyzing digital evidence.",Digital Forensics; Incident Response; Data Recovery; Legal Compliance,4,GIAC Certified Forensic Analyst (GCFA); Certified Computer Examiner (CCE),Security Engineer; Infosec Analyst/Cybersecurity Analyst; Director of Security; Cybersecurity Specialist; Cybersecurity Engineer
job-069-computer-graphics-animator,Computer Graphics Animator,"Game, VFX & Creative Production",Mid Level,"Creates animations using computer graphics software. Responsibilities include modeling, rigging, and rendering 3D assets.",3D Animation; 2D Animation; Motion Graphics; Adobe Creative Suite; Maya; Blender; Storyboarding; Visual Effects; Animation Software; 3D Modeling; Graphic Design,11,Adobe Creative Suite Certifications; Maya Certifications; Autodesk Maya Certified User; Adobe Certified Expert (ACE),Motion Graphics Artist; Animator; Visual Effects Animator; VFX Artist; 2d Artist/Animator
job-070-computer-hardware-engineer,Computer Hardware Engineer,Hardware & Embedded Engineering,Mid Level,"Designs and tests hardware components for computers. Responsibilities include circuit design, prototyping, and troubleshooting hardware issues.",Hardware Design; Circuit Design; Embedded Systems; Microprocessors; PCB Design; Testing; Validation,7,CompTIA A+; Cisco CCNA; Cisco Certified Technician (CCT); Microsoft Certified: Windows Server Hybrid Administrator Associate,
job-071-computer-network-architect,Computer Network Architect,Networking & Systems Administration,Senior,Designs network infrastructures to support organizational needs. Responsible for selecting hardware/software solutions to optimize network performance.,Network Design; Routing; Switching; Security; LAN/WAN; TCP/IP; VPN; Firewalls; Cloud Networking; Network Protocols; System Architecture,11,Cisco CCNP Network Design; Cisco CCIE Routing and Switching; Cisco Certified Network Professional (CCNP); AWS Certified Advanced Networking - Specialty; Juniper Networks Certified Expert (JNCIE),Network Engineer; Network Architect; Entry Level Network Engineer; Network Infrastructure Specialist; Computer Network Specialist
job-072-computer-network-specialist,Computer Network Specialist,Networking & Systems Administration,Mid Level,"Manages and maintains computer networks, ensuring stability and security.",Networking; Troubleshooting; System Administration; Security,4,CompTIA Network+; Cisco Certified Network Professional (CCNP),Network and Systems Administrator; Linux Administrator; IT Systems Administrator; Entry Level Network Engineer; Systems Administrator
job-073-computer-programmer,Computer Programmer,Backend & Software Development,Mid Level,Writes code to create software applications based on specifications. Responsibilities include debugging code and collaborating with other developers.,Programming; Algorithms; Data Structures; Debugging; Software Development; Python; Java; C++; Programming Languages,9,Oracle Java Programmer Certification; Microsoft Technology Associate (MTA); CompTIA IT Fundamentals+; Oracle Certified Associate (OCA) - Java; Microsoft Certified: Azure Developer Associate,Programmer; Entry Level Programmer; Coder; Software Development Engineer; Lead Programmer
job-074-computer-research-scientist,Computer Research Scientist,Data Science & Analytics,Mid Level,Conducts research in computing fields to develop new technologies or methodologies. Publishes findings in academic journals and presents at conferences.,Research Methods; Data Analysis; Algorithms; Machine Learning; Publications; Scientific Writing; Programming; Research Methodologies,8,Certified Data Scientist (CDS); IEEE Certified Artificial Intelligence Engineer; Google TensorFlow Developer Certificate; IBM AI Engineering Professional Certificate,Computer and Information Research Scientist; Data Science Specialist; Data Scientist; Power BI Analyst; Intelligence Specialist
job-075-computer-support-specialist,Computer Support Specialist,IT Support & Operations,Mid Level,"Provides technical support to end-users, resolving hardware and software issues.",Technical Support; Troubleshooting; Customer Service; Hardware/Software,4,CompTIA A+; Microsoft Certified: Modern Desktop Administrator Associate,IT Support Specialist; Help Desk Technician; Technology Assistant; IT Technician; IT Apprentice
job-076-computer-systems-analyst,Computer Systems Analyst,Enterprise Systems & ERP/CRM,Mid Level,Analyzes computer systems to identify improvements in efficiency or functionality. Works closely with stakeholders to gather requirements and implement solutions.,System Analysis; Requirements Gathering; Data Analysis; Process Improvement; UML; SQL; Stakeholder Management; Systems Analysis; IT Consulting,9,Certified Business Analysis Professional (CBAP); ITIL Foundation Certification; Certified Information Systems Auditor (CISA); PMI Professional in Business Analysis (PMI-PBA),Business Systems Analyst
job-077-confluence-engineer,Confluence Engineer,Cloud & DevOps Engineering,Mid Level,"Manages Confluence as a collaboration tool within teams. Responsibilities include configuring spaces, managing permissions, and supporting documentation efforts.",Confluence; Atlassian Suite; Collaboration; Documentation; Workflow Configuration; User Management; Collaboration Tools,7,Atlassian Confluence Certification; AgilePM Certification; Atlassian Confluence Administrator Certification,JIRA Engineer; Jira Administrator; Github Engineer; Bamboo Engineer
job-078-consul-engineer,Consul Engineer,Cloud & DevOps Engineering,Mid Level,Implements service discovery solutions using HashiCorp Consul. Responsible for configuring service mesh capabilities and ensuring application connectivity.,Consul; Service Discovery; Configuration Management; Networking; Automation; Cloud Computing; Infrastructure Automation,7,HashiCorp Certified: Consul Associate; Cloud Security Alliance CCSK; HashiCorp Certified Consul Associate,Nomad Engineer; OpenStack Engineer; Puppet Operations Engineer; Puppet Engineer; Infrastructure Architect
job-079-coverage-py-engineer,Coverage.py Engineer,QA & Testing,Mid Level,Utilizes Coverage.py for measuring code coverage in Python applications. Responsible for implementing testing strategies to improve code quality.,Coverage.py; Python; Testing; Code Coverage; Quality Assurance; CI/CD; Python Testing; Test Coverage Analysis; Software Quality,9,Python Institute Certifications; Certified Software Development Professional (CSDP); No direct certification; recommended: Python Institutes PCPP-32-2 (Advanced Python Programming),JaCoCO Engineer; PyTest Engineer; JUnit Engineer; Selenium Engineer; QA Engineer
job-080-customer-service-representative,Customer Service Representative,IT Support & Operations,Mid Level,"Provides customer service, resolving issues and providing technical support.",Customer Service; Communication; Problem Solving; Technical Support,4,ITIL Foundation; Google IT Support Professional Certificate,IT Support Specialist; IT Apprentice; Help Desk Technician; Computer Support Specialist; Technology Specialist
job-081-cybersecurity-analyst,Cybersecurity Analyst,Cybersecurity,Mid Level,Protects computer systems and networks from cyber threats.,Security Protocols; Threat Analysis; Compliance; Incident Response,4,AWS Certified Solutions Architect - Associate; Google Professional Cloud Architect,Infosec Analyst/Cybersecurity Analyst; Cybersecurity Specialist; Security Engineer; IT Security Specialist; Cybersecurity Engineer
job-082-cybersecurity-engineer,Cybersecurity Engineer,Cybersecurity,Mid Level,Implements and manages security measures to protect computer systems and networks.,Security Protocols; Threat Analysis; Risk Management; Incident Response,4,Certified Ethical Hacker (CEH); GIAC Security Essentials Certification (GSEC),Security Engineer; IT Security Specialist; Infosec Analyst/Cybersecurity Analyst; Cybersecurity Specialist; Cybersecurity Analyst
job-083-cybersecurity-specialist,Cybersecurity Specialist,Cybersecurity,Mid Level,Protects computer systems and networks from cyber threats.,Security Protocols; Threat Analysis; Compliance; Incident Response,4,CompTIA Security+; Certified Information Systems Security Professional (CISSP),Infosec Analyst/Cybersecurity Analyst; Cybersecurity Analyst; Security Engineer; IT Security Specialist; Cybersecurity Engineer
job-084-data-analyst,Data Analyst,Data Science & Analytics,Mid Level,"Analyzes data sets to extract insights that inform business decisions. Proficient in SQL, Excel, and data visualization tools like Tableau or Power BI.",SQL; Excel; Data Visualization; Power BI; Python; R; Statistics; Data Mining; Data Cleansing; Tableau; ETL; Data Modeling; Data Analysis; Statistical Analysis,14,Microsoft Certified: Data Analyst Associate; Google Data Analytics Professional Certificate; Microsoft Certified: Power BI Data Analyst Associate,Data Analysts; Principle Engineer in Data Analysis; Data Scientist; Power BI Developer; Power BI Analyst
job-085-data-analysts,Data Analysts,Data Science & Analytics,Mid Level,"Analyzes datasets to provide actionable insights. Requires proficiency in SQL, Excel, and data visualization tools like Tableau or Power BI.",SQL; Excel; Data Visualization; Power BI; Python; R; Statistics; Data Mining; Data Cleansing; Tableau; ETL; Data Modeling,12,Microsoft Certified: Data Analyst Associate; Tableau Desktop Specialist,Data Analyst; Data Scientist; Principle Engineer in Data Analysis; Power BI Developer; Power BI Analyst
job-086-data-architect,Data Architect,Data & Database Engineering,Senior,"Designs data models and architecture for databases. Responsible for ensuring data quality, integrity, and security across systems.",Data Modeling; Data Warehousing; ETL; SQL; NoSQL; Data Governance; Cloud Computing; AWS; Azure; Data Integration; Data Security; Database Design; ETL Processes,13,IBM Certified Data Architect - Big Data; Google Cloud Professional Data Architect; Google Professional Data Engineer; AWS Certified Data Analytics - Specialty,Data Engineer; Data Modeler; Data Warehouse Programming Specialist; SQL Developer; Oracle SQL Developer
job-087-data-engineer,Data Engineer,Data & Database Engineering,Mid Level,"Builds data pipelines to support analytics initiatives. Requires expertise in ETL processes, SQL databases, and big data technologies.",SQL; ETL; Data Warehousing; Python; Spark; Hadoop; Cloud Computing; Data Pipelines; Data Modeling; ETL Processes; Big Data Technologies; Database Management,12,Google Cloud Professional Data Engineer; AWS Certified Big Data – Specialty; Microsoft Certified: Azure Data Engineer Associate; Databricks Certified Data Engineer,Data Warehouse Programming Specialist; Data Architect; Data Warehouse Manager; Data Modeler; SQL Developer
job-088-data-modeler,Data Modeler,Data & Database Engineering,Mid Level,Creates data models that define how data is stored within databases. Works closely with architects to ensure alignment with business requirements.,Data Modeling; SQL; Data Warehousing; Database Design; ER Diagrams; Data Governance; Data Modeling Techniques; Data Analysis,8,IBM Certified Data Modeler; Data Management Association (DAMA) CDMP; DAMA Certified Data Management Professional (CDMP); IBM Certified Data Architect,Database Architect; Database Analyst; Data Warehouse Programming Specialist; Data Architect; SQL Developer
job-089-data-quality-engineer,Data Quality Engineer,Data & Database Engineering,Mid Level,"Ensures data quality by profiling, monitoring, and improving data accuracy and consistency.",Data Quality Tools; Data Profiling; SQL; Data Governance,4,CompTIA Security+; Certified Information Systems Security Professional (CISSP),Data Modeler; Database Developer; Database Architect; Database Analyst; Data Warehouse Programming Specialist
job-090-data-science-specialist,Data Science Specialist,Data Science & Analytics,Mid Level,Applies data science techniques to analyze data and solve business problems.,Data Analysis; Machine Learning; Statistical Modeling; Data Visualization,4,Microsoft Certified: Azure Data Scientist Associate; Google Data Analytics Professional Certificate,Business Intelligence Analyst; Principle Engineer in Data Analysis; Computer Research Scientist; Power BI Developer; Power BI Analyst
job-091-data-scientist,Data Scientist,Data Science & Analytics,Mid Level,Utilizes statistical analysis and machine learning techniques to derive insights from complex datasets. Proficient in programming languages like Python or R.,Python; R; Machine Learning; Data Science; Statistics; SQL; Hadoop; Spark; Data Wrangling; Data Visualization; Cloud Computing; Statistical Analysis; Data Mining; Programming,14,Certified Analytics Professional (CAP); Microsoft Certified: Azure Data Scientist Associate; IBM Data Science Professional Certificate; AWS Certified Machine Learning - Specialty,Data Analyst; Data Analysts; Principle Engineer in Data Analysis; Data Science Specialist; Business Intelligence Analyst
job-092-data-warehouse-manager,Data Warehouse Manager,Data & Database Engineering,Lead / Manager,Manages data warehouse projects and teams.,Data Warehousing; ETL Processes; Data Modeling; Team Leadership,4,Snowflake SnowPro Core Certification; AWS Certified Data Analytics - Specialty,Data Warehouse Programming Specialist; Data Engineer; Data Architect; Data Modeler; Database Developer
job-093-data-warehouse-programming-specialist,Data Warehouse Programming Specialist,Data & Database Engineering,Mid Level,Develops and maintains ETL processes for data warehousing.,ETL Processes; SQL; Data Modeling; Data Warehousing,4,Cloudera Certified Data Analyst; Microsoft Certified: Azure Data Engineer Associate,Data Warehouse Manager; Database Developer; Database Architect; Database Analyst; Data Modeler
job-094-database-administrator,Database Administrator,Data & Database Engineering,Mid Level,"Responsible for managing database systems including installation, configuration, monitoring performance, backup/recovery procedures.",SQL; Database Management; MySQL; PostgreSQL; Oracle; Database Design; Performance Tuning; Backup and Recovery,8,Oracle Database SQL Certified Associate; Microsoft Certified: Azure Database Administrator Associate; Oracle Certified Professional (OCP) Database Administrator,Oracle Developer; Database Architect; SQL Developer; Oracle SQL Developer; Data Modeler
job-095-database-analyst,Database Analyst,Data & Database Engineering,Mid Level,Analyzes data stored in databases and creates reports.,Data Analysis; SQL; Data Modeling; Reporting,4,IBM Certified Database Administrator; Oracle Database SQL Certified Associate,Database Developer; Database Architect; Data Warehouse Programming Specialist; Data Modeler; SQL Developer
job-096-database-architect,Database Architect,Data & Database Engineering,Senior,"Designs and manages database systems, ensuring data integrity and performance.",Database Design; Data Modeling; SQL; Performance Tuning,4,Oracle Database SQL Certified Associate; Microsoft Certified: Azure Database Administrator Associate,SQL Developer; Oracle SQL Developer; Oracle Developer; Database Developer; Database Analyst
job-097-database-developer,Database Developer,Data & Database Engineering,Mid Level,Develops database applications and schemas.,Database Development; SQL; PL/SQL; Data Modeling,4,Microsoft Certified: Azure Database Administrator Associate; Oracle PL/SQL Developer Certified Associate,Oracle SQL Developer; Oracle Developer; Database Architect; Database Analyst; Data Warehouse Programming Specialist
job-098-datadog-engineer,Datadog Engineer,Cloud & DevOps Engineering,Mid Level,Implements monitoring solutions using Datadog to track application performance metrics. Responsible for configuring alerts/dashboards.,Datadog; Monitoring; Alerting; Metrics; Dashboards; Cloud Computing; Linux; Troubleshooting; System Performance; Cloud Infrastructure,10,Datadog Monitoring Certification; AWS Certified DevOps Engineer – Professional; Datadog Fundamentals Certification,Grafana Engineer; Prometheus Engineer; New Relic Engineer; AppDynamics Engineer; Operations Engineer
job-099-developer,Developer,Software Development (General),Mid Level,Writes software applications based on specifications provided by stakeholders. Collaborates with other developers on coding best practices.,Programming; Algorithms; Data Structures; Debugging; Software Development; Python; Java; C++,8,CompTIA IT Fundamentals+; NET Developer Certification,Software Developer; Software Engineer; Entry Level Developer; New Grad Software Engineer; Junior Software Engineer
job-100-devops-architect,DevOps Architect,Cloud & DevOps Engineering,Senior,Designs DevOps frameworks that enhance collaboration between development/operations teams while implementing CI/CD practices.,Cloud Computing; AWS; Azure; Google Cloud; Docker; Kubernetes; Terraform; Ansible; CI/CD; Automation; Security; Networking; DevOps Practices; System Architecture,14,AWS Certified Solutions Architect – Professional; Google Cloud Professional DevOps Engineer; AWS Certified DevOps Engineer - Professional; Google Cloud DevOps Engineer,Senior DevOps Architect; Senior DevOps Engineer; Kubernetes Engineer; kubernetes Administrator; DevOps Engineer
job-101-devops-engineer,DevOps Engineer,Cloud & DevOps Engineering,Mid Level,Implements DevOps practices by automating software delivery processes using tools like Jenkins or GitLab CI.,Docker; Kubernetes; CI/CD; AWS; Azure; Linux; Terraform; Ansible; Jenkins; Git; Automation; Networking; Python; Scripting; Cloud Computing,15,AWS Certified DevOps Engineer – Professional; Docker Certified Associate; HashiCorp Certified Terraform Associate; Kubernetes Certified Administrator (CKA); AWS Certified DevOps Engineer,Senior DevOps Engineer; Ansible Operations Engineer; Kubernetes Engineer; kubernetes Administrator; Senior DevOps Architect
job-102-devops-manager,Devops Manager,Cloud & DevOps Engineering,Lead / Manager,Oversees DevOps teams responsible for automating software delivery processes while ensuring alignment with organizational goals.,DevOps; Team Management; Project Management; CI/CD; Cloud Computing; Automation; Communication; Leadership; Budgeting; DevOps Practices; Team Leadership,11,Project Management Professional (PMP); Certified ScrumMaster (CSM); SAFe DevOps Practitioner (SDP); AWS Certified DevOps Engineer - Professional,OpenShift Engineer; Docker Engineer; Senior DevOps Engineer; Senior DevOps Architect; GCP DevOps Engineer
job-103-devsecops-architect,DevSecOps Architect,Cloud & DevOps Engineering,Senior,Integrates security practices into the DevOps process by designing secure CI/CD pipelines that meet compliance standards.,DevSecOps; Cloud Security; Kubernetes; Docker; Terraform; Ansible; CI/CD; Security Automation; Vulnerability Management; DevSecOps Practices; System Architecture,11,Certified Information Systems Security Professional (CISSP); DevSecOps Foundation Certification; Certified DevSecOps Professional (CDP); AWS Certified Security - Specialty,Senior DevSecOps Architect; DevSecOps Engineer; DevOps Architect; Cloud Architect; Senior DevOps Engineer
job-104-devsecops-engineer,DevSecOps Engineer,Cloud & DevOps Engineering,Mid Level,Implements security measures within the DevOps lifecycle by utilizing tools that automate security checks throughout development.,DevSecOps; Kubernetes; Docker; Cloud Security; Penetration Testing; Continuous Security; CI/CD; AWS; Terraform; Vulnerability Scanning; Security Automation; Scripting,12,Certified DevSecOps Practitioner; AWS Certified Security – Specialty; Certified Kubernetes Security Specialist (CKS); GIAC Cloud Security Automation (GCSA),Senior DevSecOps Architect; DevSecOps Architect; Ansible Operations Engineer; AWS DevOps Engineer; DevOps Engineer
job-105-digital-program-manager,Digital Program Manager,Product & Project Management,Lead / Manager,"Manages digital programs, leading teams and ensuring successful execution.",Digital Strategy; Program Management; Team Leadership; Communication,4,Agile Certified Practitioner (PMI-ACP); Certified Scrum Product Owner (CSPO),Program Manager; Web Project Manager; Requirements Manager; Project Manager; Product Manager
job-106-digital-transformation-consultant,Digital Transformation Consultant,Cloud & DevOps Engineering,Mid Level,"Advises organizations on digital transformation initiatives, driving innovation and efficiency.",Digital Strategy; Technology Consulting; Business Process Improvement; Change Management,4,Certified Data Management Professional (CDMP); Microsoft Certified: Azure Data Engineer Associate,
job-107-director-business-systems,Director Business Systems,Executive & Technology Leadership,Executive / Director,"Manages business systems, leading teams and improving business processes.",Business Systems; Team Leadership; Project Management; Process Improvement,4,Salesforce Certified Technical Architect; Microsoft Certified: Dynamics 365 Fundamentals,Technology Manager; IT Director; Integration Director; Implementation Director; Director Oracle
job-108-director-hardware,Director Hardware,Executive & Technology Leadership,Executive / Director,"Manages hardware resources, leading teams and developing hardware strategies.",Hardware Management; Team Leadership; Budgeting; Strategic Planning,4,Cisco Certified Design Expert (CCDE); CompTIA Server+,Technology Manager; IT Director; Director Oracle; IT Program Engagement Director; Integration Director
job-109-director-of-engineering,Director of Engineering,Executive & Technology Leadership,Executive / Director,Leads engineering teams while overseeing project management efforts across multiple initiatives within the organization.,Team Management; Project Management; Software Development; Agile Methodologies; Budgeting; Communication; Leadership,7,Project Management Professional (PMP); Executive Leadership Programs; Certified Agile Leadership (CAL); PMI Agile Certified Practitioner (PMI-ACP),Chief Information Officer (CIO); Chief Information Officer; Technology Officer; Technology Manager; IT Director
job-110-director-of-security,Director of Security,Cybersecurity,Executive / Director,"Leads security teams and initiatives, providing strategic direction and ensuring compliance.",Security Leadership; Risk Management; Compliance; Incident Response,4,Certified Chief Information Security Officer (CCISO); CISSP-ISSMP (Information Systems Security Management Professional),Security Engineer; IT Security Specialist; Infosec Analyst/Cybersecurity Analyst; Cybersecurity Specialist; Cybersecurity Engineer
job-111-director-oracle,Director Oracle,Executive & Technology Leadership,Executive / Director,"Manages Oracle database teams and projects, ensuring efficient operations.",Oracle Database; Team Leadership; Project Management; Budgeting,4,Oracle Certified Master (OCM); Oracle Cloud Infrastructure Architect Professional,Technology Manager; IT Director; Integration Director; Implementation Director; Director Hardware
job-112-docker-engineer,Docker Engineer,Cloud & DevOps Engineering,Mid Level,Manages containerization solutions using Docker while ensuring efficient deployment of applications across environments.,Docker; Containerization; Kubernetes; CI/CD; Linux; Cloud Computing; Automation; Networking; Orchestration; DevOps,10,Docker Certified Associate; AWS Certified Solutions Architect; Kubernetes Certified Administrator (CKA),OpenShift Engineer; Kubernetes Engineer; kubernetes Administrator; DevOps Engineer; Nomad Engineer
job-113-e-commerce-developer,E-Commerce Developer,Frontend & Web Development,Mid Level,Develops and maintains e-commerce websites and applications.,E-Commerce Platforms; Web Development; Payment Gateways; Security,4,TOGAF Certified Enterprise Architect; PMI Agile Certified Practitioner (PMI-ACP),Webmaster; Web Engineer; Web Developer
job-114-effects-technical-director-fx-td,Effects Technical Director (FX TD),"Game, VFX & Creative Production",Executive / Director,Develops technical solutions for visual effects production.,Visual Effects; Technical Expertise; Scripting; Problem Solving,4,SideFX Houdini FX Certification; Pixar's RenderMan Certification,Visual Effects Animator; VFX Artist; Technical Animator; Motion Graphics Artist; Graphic Effects Supervisor
job-115-elk-engineer,ELK Engineer,Software Development (General),Mid Level,"Implements ELK stack (Elasticsearch, Logstash, Kibana) solutions for log management/analysis while creating visualizations/dashboards.",Elasticsearch; Logstash; Kibana; Data Visualization; Log Management; Linux; AWS; Azure; Networking; Security; ELK Stack; Data Analysis; System Monitoring,13,Elastic Certified Engineer; Elastic Stack Certification,IT Engineer; Internet Engineer; Systems Engineer; Fortify Engineer
job-116-embedded-software-engineer,Embedded Software Engineer,Backend & Software Development,Mid Level,Develops software for embedded systems by writing low-level code that interfaces directly with hardware components.,Embedded C; RTOS; Microcontrollers; Firmware Development; Hardware Design; Communication Protocols; Testing; Embedded Systems; C/C++; Hardware Interfaces,10,Certified Embedded Systems Engineer (CESE); Embedded C Programming Certification; Arm Accredited Engineer (AAE); IEEE Certified Embedded Systems Engineer,Embedded Systems Engineer; Firmware Manager
job-117-embedded-systems-engineer,Embedded Systems Engineer,Backend & Software Development,Mid Level,"Develops software for embedded systems, integrating hardware and software components.",Embedded Systems; C/C++; Firmware Development; Hardware Interfaces,4,Magento Certified Developer; Shopify Partner Academy Certification,Embedded Software Engineer; Firmware Manager
job-118-entry-level-developer,Entry Level Developer,Software Development (General),Entry Level,Assists in developing software applications under supervision while gaining experience in coding/debugging practices.,JavaScript; Java; Python; Git; SQL; HTML; CSS; Data Structures; Algorithms; Programming Basics; Software Development; Problem Solving; Learning Agility,13,CompTIA IT Fundamentals+; Coding Bootcamp Certificates; Microsoft Technology Associate (MTA): Software Development Fundamentals,New Grad Software Engineer; Junior Software Engineer; Junior Software Developer; Junior Developer; Jr Developer
job-119-entry-level-network-engineer,Entry Level Network Engineer,Networking & Systems Administration,Entry Level,Supports network infrastructure by assisting with configuration/troubleshooting tasks while gaining hands-on experience.,Networking; TCP/IP; Routing; Switching; Linux; Windows Server; Troubleshooting; Networking Basics; System Administration; Learning Agility,10,Cisco CCNA Routing and Switching; CompTIA Network+; Cisco Certified Network Associate (CCNA); Juniper Networks Certified Associate (JNCIA),Network and Systems Administrator; Computer Network Specialist; Network Engineer; Linux Administrator; IT Systems Administrator
job-120-entry-level-programmer,Entry Level Programmer,Backend & Software Development,Entry Level,Writes basic code under supervision while learning programming concepts/techniques through practical application.,Programming; Algorithms; Data Structures; Python; Java; C++; Debugging; Programming Basics; Software Development; Problem Solving; Learning Agility,11,CompTIA IT Fundamentals+; Coding Bootcamp Certificates; Google IT Automation with Python; Microsoft Certified: Azure Fundamentals,Programmer; Computer Programmer; Coder; Software Development Engineer; Python Developer
job-121-entry-level-software-developer,Entry Level Software Developer,Software Development (General),Entry Level,Assists in developing software applications while gaining experience in coding/debugging practices under supervision.,JavaScript; Java; Python; Git; SQL; HTML; CSS; Data Structures; Algorithms,9,CompTIA IT Fundamentals+; Coding Bootcamp Certificates,New Grad Software Engineer; Junior Software Engineer; Junior Software Developer; Junior Developer; Jr Developer
job-122-entry-level-software-engineer,Entry Level Software Engineer,Software Development (General),Entry Level,Participates in software development projects while gaining practical experience in coding/debugging under guidance.,JavaScript; Java; Python; Git; SQL; HTML; CSS; Data Structures; Algorithms,9,CompTIA IT Fundamentals+; Coding Bootcamp Certificates,New Grad Software Engineer; Junior Software Engineer; Junior Software Developer; Junior Developer; Jr Developer
job-123-entry-level-web-developer,Entry Level Web Developer,Frontend & Web Development,Entry Level,Assists in developing web applications while learning front-end/back-end technologies through practical experience.,HTML; CSS; JavaScript; Git; Web Development Fundamentals; UI/UX Basics; Basic Web Development; Learning Agility,8,HTML/CSS/JavaScript Certifications; Coding Bootcamp Certificates; Meta Front-End Developer Certificate; Google Mobile Web Specialist,Junior Web Developer; Junior Front End Developer; React Developer; Front-End Designer; JavaScript Developer
job-124-envoy-engineer,Envoy Engineer,Cloud & DevOps Engineering,Mid Level,Implements Envoy proxy solutions within microservices architectures while focusing on traffic management/security policies.,Envoy; Service Mesh; Networking; Kubernetes; Docker; Cloud Computing; Traffic Management; Security; Envoy Proxy; Load Balancing,10,Service Mesh Certifications; Cloud Native Computing Foundation Certifications; Kubernetes and Cloud-Native Associate (KCNA); Linux Foundation Certified Kubernetes Security Specialist (CKS),Istio Engineer; Kubernetes Engineer; kubernetes Administrator; Senior DevOps Architect; Infrastructure Architect
job-125-erp-consultant,ERP Consultant,Cloud & DevOps Engineering,Mid Level,"Consults on ERP system implementation, customization, and support.",ERP Systems; Business Process Analysis; Implementation; Training,4,Arm Certified Embedded Systems Engineer; Certified LabVIEW Developer,SAP Consultant
job-126-falco-engineer,Falco Engineer,Cloud & DevOps Engineering,Mid Level,Utilizes Falco for runtime security monitoring of containerized applications while implementing threat detection mechanisms.,Falco; Security; Kubernetes; Docker; Cloud Computing; Threat Detection; System Monitoring; Kubernetes Security; Cloud Security,9,Cloud Native Security Certifications; Kubernetes Security Specialist Certification; No direct certification; recommended: Certified Kubernetes Security Specialist (CKS); GIAC Cloud Security Automation (GCSA),Istio Engineer; OpenShift Engineer; Kubernetes Engineer; kubernetes Administrator; Envoy Engineer
job-127-firmware-manager,Firmware Manager,Backend & Software Development,Lead / Manager,"Manages firmware development teams and projects, ensuring efficient development practices.",Firmware Development; Team Leadership; Project Management; Embedded Systems,4,Certified Embedded Systems Engineer (CESE); Arm Certified Embedded Engineer,Embedded Systems Engineer; Embedded Software Engineer; Lead Programmer
job-128-fluentd-engineer,FluentD Engineer,Cloud & DevOps Engineering,Mid Level,Configures FluentD as a log collector/aggregator while managing log ingestion pipelines into storage/analytics platforms.,FluentD; Log Management; Data Collection; Data Processing; Elasticsearch; Kibana; Cloud Computing; Log Aggregation; System Monitoring,9,FluentD Certification (if available); Cloud Native Computing Foundation Certifications; No direct certification; recommended: Kubernetes and Cloud-Native Associate (KCNA),Falco Engineer; Splunk Engineer; Infrastructure Architect; Zabbix Engineer; Prometheus Engineer
job-129-forensic-animator,Forensic Animator,Cybersecurity,Mid Level,"Creates animations for legal presentations, visualizing forensic evidence.",Forensic Animation; 3D Modeling; Legal Expertise; Visual Communication,4,Certified Forensic Video Technician (LEVA); Blender Forensics Course,
